"001","002","003","004","005","006","007","008","009","010","011"
"61","21-10-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","33","116","NA"
"61","26-10-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","13","35","138","NA"
"61","28-10-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","32","176","NA"
"61","30-10-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","33","193","NA"
"61","02-11-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","33","144","NA"
"61","04-11-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","32","281","NA"
"61","06-11-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","33","167","NA"
"61","09-11-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","29","192","NA"
"61","13-11-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","14","33","114","NA"
"61","18-11-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","22","115","NA"
"61","20-11-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","29","167","NA"
"61","25-11-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","19","143","NA"
"61","27-11-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","30","118","NA"
"61","30-11-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","14","33","161","NA"
"61","11-12-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","20","117","NA"
"61","12-12-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","32","133","NA"
"61","14-12-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","28","110","NA"
"61","18-12-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","36","110","NA"
"61","21-12-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","13","24","143","NA"
"61","23-12-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","22","123","NA"
"61","28-12-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","24","116","NA"
"61","29-12-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","23","110","NA"
"61","30-12-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","19","123","NA"
"61","31-12-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","19","105","NA"
"76","01-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","9","28","270","NA"
"76","03-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","31","202","NA"
"76","06-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","32","275","NA"
"76","08-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","30","254","NA"
"76","10-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","32","165","NA"
"76","13-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","15","31","216","NA"
"76","15-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","32","171","NA"
"76","17-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","30","295","NA"
"76","20-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","9","32","244","NA"
"76","22-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","30","118","NA"
"76","27-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","25","149","NA"
"76","29-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","12","23","166","NA"
"76","31-01-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","12","29","179","NA"
"76","05-02-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","32","213","NA"
"76","07-02-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","12","32","165","NA"
"76","10-02-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","30","132","NA"
"76","12-02-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","15","31","351","NA"
"76","14-02-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","32","211","NA"
"76","19-02-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","15","31","297","NA"
"76","21-02-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","30","126","NA"
"76","24-02-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","15","30","188","NA"
"76","26-02-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","12","28","178","NA"
"76","28-02-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","11","32","256","NA"
"76","14-03-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","29","274","NA"
"76","17-03-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","32","221","NA"
"76","19-03-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","31","207","NA"
"76","21-03-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","30","197","NA"
"76","24-03-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","9","32","258","NA"
"76","31-03-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","12","31","231","NA"
"76","04-04-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","13","29","188","NA"
"76","07-04-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","14","30","205","NA"
"76","09-04-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","15","31","83","NA"
"76","11-04-15","Punjab","Ludhiana","Rita Sewing Machines, Ludhiana","Punjab State Pollution Control Board","Industrial Area","9","32","67","NA"
