,Time,AQI
,Thu Mar 10 2016 01:40:00 GMT+0000 (UTC),653
,Thu Mar 10 2016 06:40:00 GMT+0000 (UTC),297
,Thu Mar 10 2016 06:45:00 GMT+0000 (UTC),297
,Thu Mar 10 2016 08:40:00 GMT+0000 (UTC),283
,Thu Mar 10 2016 17:40:00 GMT+0000 (UTC),371
,Fri Mar 11 2016 00:20:00 GMT+0000 (UTC),337
,Fri Mar 11 2016 01:30:00 GMT+0000 (UTC),337
,Fri Mar 11 2016 02:40:00 GMT+0000 (UTC),436
,Fri Mar 11 2016 08:50:00 GMT+0000 (UTC),294
,Fri Mar 11 2016 15:15:00 GMT+0000 (UTC),170
,Fri Mar 11 2016 18:10:00 GMT+0000 (UTC),213
,Fri Mar 11 2016 18:30:00 GMT+0000 (UTC),137
,Fri Mar 11 2016 21:50:00 GMT+0000 (UTC),73
,Sat Mar 12 2016 00:10:00 GMT+0000 (UTC),93
,Sat Mar 12 2016 01:30:00 GMT+0000 (UTC),97
,Sat Mar 12 2016 05:10:00 GMT+0000 (UTC),103
,Sun Mar 13 2016 11:30:00 GMT+0000 (UTC),135
,Sun Mar 13 2016 15:20:00 GMT+0000 (UTC),123
,Mon Mar 14 2016 10:50:00 GMT+0000 (UTC),184
,Mon Mar 14 2016 14:50:00 GMT+0000 (UTC),162
,Mon Mar 14 2016 14:55:00 GMT+0000 (UTC),162
,Mon Mar 14 2016 18:50:00 GMT+0000 (UTC),322
,Tue Mar 15 2016 01:10:00 GMT+0000 (UTC),187
,Tue Mar 15 2016 08:15:00 GMT+0000 (UTC),302
,Tue Mar 15 2016 08:50:00 GMT+0000 (UTC),302
,Tue Mar 15 2016 09:50:00 GMT+0000 (UTC),220
,Wed Mar 16 2016 10:50:00 GMT+0000 (UTC),199
,Wed Mar 16 2016 15:35:00 GMT+0000 (UTC),223
,Thu Mar 17 2016 01:10:00 GMT+0000 (UTC),130
,Thu Mar 17 2016 03:30:00 GMT+0000 (UTC),194
,Thu Mar 17 2016 12:30:00 GMT+0000 (UTC),149
,Thu Mar 17 2016 21:10:00 GMT+0000 (UTC),163
,Fri Mar 18 2016 01:10:00 GMT+0000 (UTC),183
,Fri Mar 18 2016 01:30:00 GMT+0000 (UTC),240
,Fri Mar 18 2016 10:55:00 GMT+0000 (UTC),236
,Fri Mar 18 2016 11:10:00 GMT+0000 (UTC),262
,Fri Mar 18 2016 18:10:00 GMT+0000 (UTC),475
,Fri Mar 18 2016 19:10:00 GMT+0000 (UTC),449
,Fri Mar 18 2016 20:15:00 GMT+0000 (UTC),354
,Fri Mar 18 2016 21:50:00 GMT+0000 (UTC),342
,Fri Mar 18 2016 23:10:00 GMT+0000 (UTC),324
,Fri Mar 18 2016 23:30:00 GMT+0000 (UTC),319
,Sat Mar 19 2016 02:30:00 GMT+0000 (UTC),332
,Sat Mar 19 2016 08:50:00 GMT+0000 (UTC),234
,Sat Mar 19 2016 12:00:00 GMT+0000 (UTC),127
,Sat Mar 19 2016 13:10:00 GMT+0000 (UTC),140
,Sat Mar 19 2016 15:30:00 GMT+0000 (UTC),207
,Sat Mar 19 2016 17:10:00 GMT+0000 (UTC),325
,Sat Mar 19 2016 18:30:00 GMT+0000 (UTC),310
,Sat Mar 19 2016 21:35:00 GMT+0000 (UTC),309
,Sun Mar 20 2016 02:30:00 GMT+0000 (UTC),318
,Sun Mar 20 2016 03:50:00 GMT+0000 (UTC),314
,Sun Mar 20 2016 05:10:00 GMT+0000 (UTC),302
,Sun Mar 20 2016 12:50:00 GMT+0000 (UTC),167
,Sun Mar 20 2016 17:15:00 GMT+0000 (UTC),280
,Sun Mar 20 2016 18:55:00 GMT+0000 (UTC),203
